ward_2022,group,count_2020
Fox Point - V 0007,vap_other,6
Fox Point - V 0007,vap_two,24
Fox Point - V 0007,vap_white,546
Fox Point - V 0008,vap,710
Fox Point - V 0008,vap_aian,1
Fox Point - V 0008,vap_asian,65
Fox Point - V 0008,vap_black,36
Fox Point - V 0008,vap_hisp,26
Fox Point - V 0008,vap_nhpi,0
Fox Point - V 0008,vap_other,0
Fox Point - V 0008,vap_two,23
Fox Point - V 0008,vap_white,559
Fox Point - V 0009,vap,637
Fox Point - V 0009,vap_aian,0
Fox Point - V 0009,vap_asian,41
Fox Point - V 0009,vap_black,37
Fox Point - V 0009,vap_hisp,17
Fox Point - V 0009,vap_nhpi,0
Fox Point - V 0009,vap_other,1
Fox Point - V 0009,vap_two,19
Fox Point - V 0009,vap_white,522
Franklin - C 0002,vap,1606
Franklin - C 0002,vap_aian,6
Franklin - C 0002,vap_asian,93
Franklin - C 0002,vap_black,18
Franklin - C 0002,vap_hisp,58
Franklin - C 0002,vap_nhpi,0
Franklin - C 0002,vap_other,6
Franklin - C 0002,vap_two,28
Franklin - C 0002,vap_white,1397
Franklin - C 0003,vap,1573
Franklin - C 0003,vap_aian,3
Franklin - C 0003,vap_asian,106
Franklin - C 0003,vap_black,15
Franklin - C 0003,vap_hisp,59
Franklin - C 0003,vap_nhpi,0
Franklin - C 0003,vap_other,5
Franklin - C 0003,vap_two,26
Franklin - C 0003,vap_white,1359
Franklin - C 0004,vap,1162
Franklin - C 0004,vap_aian,5
Franklin - C 0004,vap_asian,74
Franklin - C 0004,vap_black,14
Franklin - C 0004,vap_hisp,77
Franklin - C 0004,vap_nhpi,0
Franklin - C 0004,vap_other,1
Franklin - C 0004,vap_two,36
Franklin - C 0004,vap_white,955
Franklin - C 0005,vap,1333
Franklin - C 0005,vap_aian,2
Franklin - C 0005,vap_asian,30
Franklin - C 0005,vap_black,11
Franklin - C 0005,vap_hisp,52
Franklin - C 0005,vap_nhpi,0
Franklin - C 0005,vap_other,0
Franklin - C 0005,vap_two,16
Franklin - C 0005,vap_white,1222
Franklin - C 0006,vap,1235
Franklin - C 0006,vap_aian,3
Franklin - C 0006,vap_asian,132
Franklin - C 0006,vap_black,14
Franklin - C 0006,vap_hisp,43
Franklin - C 0006,vap_nhpi,0
Franklin - C 0006,vap_other,0
Franklin - C 0006,vap_two,12
Franklin - C 0006,vap_white,1031
Franklin - C 0007,vap,1124
Franklin - C 0007,vap_aian,2
Franklin - C 0007,vap_asian,31
Franklin - C 0007,vap_black,29
Franklin - C 0007,vap_hisp,26
Franklin - C 0007,vap_nhpi,0
Franklin - C 0007,vap_other,4
Franklin - C 0007,vap_two,24
Franklin - C 0007,vap_white,1008
Franklin - C 0008,vap,1666
Franklin - C 0008,vap_aian,6
Franklin - C 0008,vap_asian,192
Franklin - C 0008,vap_black,68
Franklin - C 0008,vap_hisp,184
Franklin - C 0008,vap_nhpi,0
Franklin - C 0008,vap_other,3
Franklin - C 0008,vap_two,45
Franklin - C 0008,vap_white,1168
Franklin - C 0009,vap,952
Franklin - C 0009,vap_aian,3
Franklin - C 0009,vap_asian,117
Franklin - C 0009,vap_black,43
Franklin - C 0009,vap_hisp,60
Franklin - C 0009,vap_nhpi,0
Franklin - C 0009,vap_other,3
Franklin - C 0009,vap_two,14
Franklin - C 0009,vap_white,712
Franklin - C 0010,vap,878
Franklin - C 0010,vap_aian,9
Franklin - C 0010,vap_asian,110
Franklin - C 0010,vap_black,8
Franklin - C 0010,vap_hisp,61
Franklin - C 0010,vap_nhpi,0
Franklin - C 0010,vap_other,0
Franklin - C 0010,vap_two,24
Franklin - C 0010,vap_white,666
Franklin - C 0011,vap,1543
Franklin - C 0011,vap_aian,5
Franklin - C 0011,vap_asian,119
Franklin - C 0011,vap_black,26
Franklin - C 0011,vap_hisp,82
Franklin - C 0011,vap_nhpi,0
Franklin - C 0011,vap_other,9
Franklin - C 0011,vap_two,43
Franklin - C 0011,vap_white,1259
Franklin - C 0013,vap,683
Franklin - C 0013,vap_aian,0
Franklin - C 0013,vap_asian,56
Franklin - C 0013,vap_black,29
Franklin - C 0013,vap_hisp,31
Franklin - C 0013,vap_nhpi,0
Franklin - C 0013,vap_other,8
Franklin - C 0013,vap_two,12
Franklin - C 0013,vap_white,547
Franklin - C 0014,vap,1351
Franklin - C 0014,vap_aian,3
Franklin - C 0014,vap_asian,91
Franklin - C 0014,vap_black,18
Franklin - C 0014,vap_hisp,86
Franklin - C 0014,vap_nhpi,1
Franklin - C 0014,vap_other,2
Franklin - C 0014,vap_two,19
Franklin - C 0014,vap_white,1131
Franklin - C 0016,vap,1505
Franklin - C 0016,vap_aian,12
Franklin - C 0016,vap_asian,107
Franklin - C 0016,vap_black,31
Franklin - C 0016,vap_hisp,78
Franklin - C 0016,vap_nhpi,0
Franklin - C 0016,vap_other,1
Franklin - C 0016,vap_two,35
Franklin - C 0016,vap_white,1241
Franklin - C 0017,vap,865
Franklin - C 0017,vap_aian,1
Franklin - C 0017,vap_asian,104
Franklin - C 0017,vap_black,8
Franklin - C 0017,vap_hisp,37
Franklin - C 0017,vap_nhpi,1
Franklin - C 0017,vap_other,4
Franklin - C 0017,vap_two,14
Franklin - C 0017,vap_white,696
Franklin - C 0018,vap,716
Franklin - C 0018,vap_aian,3
Franklin - C 0018,vap_asian,76
Franklin - C 0018,vap_black,21
Franklin - C 0018,vap_hisp,46
Franklin - C 0018,vap_nhpi,0
Franklin - C 0018,vap_other,1
Franklin - C 0018,vap_two,6
Franklin - C 0018,vap_white,563
Franklin - C 0019,vap,1490
Franklin - C 0019,vap_aian,0
Franklin - C 0019,vap_asian,77
Franklin - C 0019,vap_black,23
Franklin - C 0019,vap_hisp,72
Franklin - C 0019,vap_nhpi,0
Franklin - C 0019,vap_other,4
Franklin - C 0019,vap_two,31
Franklin - C 0019,vap_white,1283
Franklin - C 001A,vap,94
Franklin - C 001A,vap_aian,1
Franklin - C 001A,vap_asian,6
Franklin - C 001A,vap_black,0
Franklin - C 001A,vap_hisp,9
Franklin - C 001A,vap_nhpi,0
Franklin - C 001A,vap_other,0
Franklin - C 001A,vap_two,6
Franklin - C 001A,vap_white,72
Franklin - C 001B,vap,1859
Franklin - C 001B,vap_aian,1
Franklin - C 001B,vap_asian,5
Franklin - C 001B,vap_black,1182
Franklin - C 001B,vap_hisp,173
Franklin - C 001B,vap_nhpi,0
Franklin - C 001B,vap_other,1
Franklin - C 001B,vap_two,5
Franklin - C 001B,vap_white,492
Franklin - C 0020,vap,1637
Franklin - C 0020,vap_aian,2
Franklin - C 0020,vap_asian,113
Franklin - C 0020,vap_black,54
Franklin - C 0020,vap_hisp,100
Franklin - C 0020,vap_nhpi,0
Franklin - C 0020,vap_other,1
Franklin - C 0020,vap_two,61
Franklin - C 0020,vap_white,1306
Franklin - C 0021,vap,1666
Franklin - C 0021,vap_aian,4
Franklin - C 0021,vap_asian,17
Franklin - C 0021,vap_black,14
Franklin - C 0021,vap_hisp,49
Franklin - C 0021,vap_nhpi,0
Franklin - C 0021,vap_other,4
Franklin - C 0021,vap_two,37
Franklin - C 0021,vap_white,1541
Franklin - C 0022,vap,1645
Franklin - C 0022,vap_aian,2
Franklin - C 0022,vap_asian,71
Franklin - C 0022,vap_black,9
Franklin - C 0022,vap_hisp,98
Franklin - C 0022,vap_nhpi,0
Franklin - C 0022,vap_other,11
Franklin - C 0022,vap_two,33
Franklin - C 0022,vap_white,1421
Franklin - C 012A,vap,56
Franklin - C 012A,vap_aian,0
Franklin - C 012A,vap_asian,0
Franklin - C 012A,vap_black,0
Franklin - C 012A,vap_hisp,11
Franklin - C 012A,vap_nhpi,0
Franklin - C 012A,vap_other,0
Franklin - C 012A,vap_two,4
Franklin - C 012A,vap_white,41
Franklin - C 012B,vap,895
Franklin - C 012B,vap_aian,1
Franklin - C 012B,vap_asian,57
Franklin - C 012B,vap_black,11
Franklin - C 012B,vap_hisp,33
Franklin - C 012B,vap_nhpi,0
Franklin - C 012B,vap_other,12
Franklin - C 012B,vap_two,9
Franklin - C 012B,vap_white,772
Franklin - C 012C,vap,531
Franklin - C 012C,vap_aian,1
Franklin - C 012C,vap_asian,58
Franklin - C 012C,vap_black,3
Franklin - C 012C,vap_hisp,32
Franklin - C 012C,vap_nhpi,0
Franklin - C 012C,vap_other,0
Franklin - C 012C,vap_two,12
Franklin - C 012C,vap_white,425
Franklin - C 015A,vap,135
Franklin - C 015A,vap_aian,0
Franklin - C 015A,vap_asian,3
Franklin - C 015A,vap_black,1
Franklin - C 015A,vap_hisp,3
Franklin - C 015A,vap_nhpi,0
Franklin - C 015A,vap_other,0
Franklin - C 015A,vap_two,2
Franklin - C 015A,vap_white,126
