ward_2011,group,count_2010,est_2012,est_2014,est_2016,est_2018,count_2020
Franklin - C 11,vap_black,10,13.2,16.4,19.6,22.8,26
Franklin - C 11,vap_hisp,53,58.8,64.6,70.4,76.2,82
Franklin - C 11,vap_nhpi,0,0,0,0,0,0
Franklin - C 11,vap_other,0,1.8,3.6,5.3999999999999995,7.2,9
Franklin - C 11,vap_two,16,21.4,26.8,32.2,37.6,43
Franklin - C 11,vap_white,1216,1224.6,1233.2,1241.8,1250.4,1259
Franklin - C 12,vap,995,1002,1009,1016,1023,1030
Franklin - C 12,vap_aian,3,2.6,2.2,1.8,1.4,1
Franklin - C 12,vap_asian,49,51.2,53.4,55.6,57.8,60
Franklin - C 12,vap_black,12,12,12,12,12,12
Franklin - C 12,vap_hisp,29,30.4,31.8,33.2,34.6,36
Franklin - C 12,vap_nhpi,0,0,0,0,0,0
Franklin - C 12,vap_other,0,2.4000000000000004,4.800000000000001,7.199999999999999,9.600000000000001,12
Franklin - C 12,vap_two,11,11,11,11,11,11
Franklin - C 12,vap_white,891,892.4,893.8,895.2,896.6,898
Franklin - C 13,vap,1246,1281.2,1316.4,1351.6,1386.8,1422
Franklin - C 13,vap_aian,3,2.6,2.2,1.8,1.4,1
Franklin - C 13,vap_asian,50,64.8,79.6,94.4,109.2,124
Franklin - C 13,vap_black,16,19.4,22.8,26.2,29.6,33
Franklin - C 13,vap_hisp,33,41.8,50.6,59.4,68.2,77
Franklin - C 13,vap_nhpi,0,0,0,0,0,0
Franklin - C 13,vap_other,0,1.6,3.2,4.8,6.4,8
Franklin - C 13,vap_two,12,15.6,19.2,22.799999999999997,26.4,30
Franklin - C 13,vap_white,1132,1135.4,1138.8,1142.2,1145.6,1149
Franklin - C 14,vap,1141,1166.2,1191.4,1216.6,1241.8,1267
Franklin - C 14,vap_aian,3,3,3,3,3,3
Franklin - C 14,vap_asian,63,67.4,71.8,76.2,80.6,85
Franklin - C 14,vap_black,11,12.4,13.8,15.2,16.6,18
Franklin - C 14,vap_hisp,47,52,57,62,67,72
Franklin - C 14,vap_nhpi,0,0.2,0.4,0.6,0.8,1
Franklin - C 14,vap_other,2,2,2,2,2,2
Franklin - C 14,vap_two,11,11.8,12.6,13.4,14.2,15
Franklin - C 14,vap_white,1004,1017.4,1030.8,1044.2,1057.6,1071
Franklin - C 15 A,vap,631,662.2,693.4,724.6,755.8,787
Franklin - C 15 A,vap_aian,2,3,4,5,6,7
Franklin - C 15 A,vap_asian,32,36,40,44,48,52
