BLOCKID|PLACEFP
550019505022070|
550019505022071|
550019505022072|
550019505022073|30100
550019505022074|30100
550019505022075|30100
550019505022076|30100
550019505022077|21975
550019505022078|21975
550019505022079|21975
550019505022080|21975
550019505022081|21975
550019505023000|
550019505023001|
550019505023002|
550019505023003|
550019505023004|
550019505023005|
550019505023006|
550019505023007|21975
550019505023008|21975
550019505023009|
550019505023010|
550019505023011|
550019505023012|
550019505023013|
550019505023014|
550019505023015|
550019505023016|
550019505023017|
550019505023018|
550019505023019|
550019505023020|
550019505023021|
550019505023022|
550019505023023|
550019505023024|
550019505023025|
550019505023026|
550019505023027|
550019505023028|
550019505023029|
550019505023030|
550019505023031|
550019505023032|
550019505023033|
550019505023034|
550019505023035|
550019505023036|
550019505023037|
550019505023038|
550019505023039|
550019505023040|
550019505023041|
550019505023042|
550019505023043|
550019505023044|
550019505023045|
550019505023046|
550019505023047|
550019505024000|
550019505024001|
550019505024002|
550019505024003|
550019505024004|
550019505024005|
550019505024006|
550019505024007|
550019505024008|
550019505024009|
550019505024010|
550019505024011|
550019505024012|
550019505024013|
550019505024014|
550019505024015|
550019505024016|
550019505024017|
550019505024018|
550019505024019|
550019505024020|
550019505024021|
550019505024022|
550019505024023|
550019505024024|
550019505024025|
550019505024026|
550019505024027|
550019505024028|
550019505024029|
550019505024030|
550019505024031|
550019505024032|
550019505024033|
550019505024034|
550019505024035|
550019505024036|
550019505024037|
550019505024038|
550019505024039|
550019505024040|
550019505024041|
550019505024042|
550019505024043|
550019505024044|
550019505024045|
550019505024046|
550019505024047|
550019505024048|
550019505024049|
550019505024050|
550019505024051|
550019505024052|
550019505024053|
550019505024054|
550019505024055|
550019505024056|
550019505024057|
550019505024058|
550019505024059|
550019505024060|
550019507001000|
550019507001001|
550019507001002|
550019507001003|
550019507001004|
550019507001005|
550019507001006|
550019507001007|
550019507001008|
550019507001009|
550019507001010|
550019507001011|
550019507001012|
550019507001013|
550019507001014|
550019507001015|
550019507001016|
550019507001017|
550019507001018|
550019507001019|
550019507001020|
550019507001021|
550019507001022|
550019507001023|
550019507001024|
550019507001025|
550019507001026|
550019507001027|
550019507001028|
550019507001029|
550019507001030|
550019507001031|
550019507001032|
550019507001033|
550019507001034|
550019507001035|
550019507001036|
550019507001037|
550019507001038|
550019507001039|
550019507001040|
550019507001041|
550019507001042|
550019507001043|
550019507001044|
550019507001045|
550019507001046|
550019507001047|
550019507001048|
550019507001049|
550019507001050|
550019507001051|
550019507001052|
550019507001053|
550019507001054|
550019507001055|
550019507001056|
550019507001057|
550019507001058|
550019507001059|
550019507001060|
550019507001061|
550019507001062|
550019507001063|
550019507001064|
550019507001065|
550019507001066|
550019507001067|
550019507001068|
550019507001069|
550019507001070|
550019507001071|
550019507001072|
550019507001073|
550019507001074|
550019507001075|
550019507001076|
550019507001077|
550019507001078|
550019507001079|
550019507001080|
550019507001081|
550019507001082|
550019507001083|
550019507001084|
550019507001085|
550019507001086|
550019507001087|
550019507001088|
550019507001089|
550019507001090|
550019507001091|
550019507001092|
550019507001093|
550019507001094|
550019507001095|
550019507001096|
550019507001097|
550019507001098|
550019507001099|
550019507001100|
550019507001101|
550019507002000|
550019507002001|
550019507002002|
550019507002003|
550019507002004|
550019507002005|
550019507002006|
550019507002007|
550019507002008|
550019507002009|
550019507002010|
550019507002011|
550019507002012|
550019507002013|
550019507002014|
550019507002015|
550019507002016|
550019507002017|
550019507002018|
550019507002019|
550019507002020|
550019507002021|
550019507002022|
550019507002023|
